seed,score,lowestFaceDown,completedRuns,depth,nodes
574,-24160,40,0,4,2247
577,-24160,40,0,4,1938
601,-24160,40,0,4,1293
602,-24160,40,0,4,1830
603,-24160,40,0,4,1974
609,-24160,40,0,4,858
623,-24160,40,0,4,2280
625,-24160,40,0,4,1793
626,-24160,40,0,4,1687
635,-24160,40,0,4,1636
640,-24160,40,0,4,2105
642,-24160,40,0,4,1229
643,-24160,40,0,4,1279
644,-24160,40,0,4,2055
647,-24160,40,0,4,2200
648,-24160,40,0,4,2049
653,-24160,40,0,4,2029
663,-24160,40,0,4,2399
664,-24160,40,0,4,1912
666,-24160,40,0,4,2152
672,-24160,40,0,4,1940
673,-24160,40,0,4,1262
678,-24160,40,0,4,1534
697,-24160,40,0,4,1757
708,-24160,40,0,4,1439
709,-24160,40,0,4,1330
790,-24160,40,0,4,1117
811,-24160,40,0,4,1047
822,-24160,40,0,4,1835
831,-24160,40,0,4,626
836,-24160,40,0,4,1440
847,-24160,40,0,4,1407
874,-24160,40,0,4,1577
876,-24160,40,0,4,1581
889,-24160,40,0,4,1458
898,-24160,40,0,4,1119
900,-24160,40,0,4,1934
906,-24160,40,0,4,990
911,-24160,40,0,4,1708
915,-24160,40,0,4,2225
916,-24160,40,0,4,1591
926,-24160,40,0,4,2233
946,-24160,40,0,4,2136
948,-24160,40,0,4,2020
956,-24160,40,0,4,2007
958,-24160,40,0,4,2048
960,-24160,40,0,4,1190
961,-24160,40,0,4,1062
974,-24160,40,0,4,1888
992,-24160,40,0,4,1177
300,-24275,40,0,5,1521
554,-24275,40,0,5,2103
748,-24275,40,0,5,2023
4,-24275,40,0,4,1211
8,-24275,40,0,4,1731
10,-24275,40,0,4,832
16,-24275,40,0,4,1988
17,-24275,40,0,4,2025
19,-24275,40,0,4,828
21,-24275,40,0,4,1663
26,-24275,40,0,4,979
27,-24275,40,0,4,1748
28,-24275,40,0,4,1822
33,-24275,40,0,4,1645
36,-24275,40,0,4,1167
38,-24275,40,0,4,520
41,-24275,40,0,4,1560
51,-24275,40,0,4,1809
55,-24275,40,0,4,1173
57,-24275,40,0,4,2062
68,-24275,40,0,4,1625
72,-24275,40,0,4,1036
79,-24275,40,0,4,784
83,-24275,40,0,4,1405
88,-24275,40,0,4,1125
91,-24275,40,0,4,1733
93,-24275,40,0,4,1981
94,-24275,40,0,4,1831
96,-24275,40,0,4,1572
99,-24275,40,0,4,1601
111,-24275,40,0,4,1400
112,-24275,40,0,4,1954
115,-24275,40,0,4,954
118,-24275,40,0,4,1860
122,-24275,40,0,4,1876
123,-24275,40,0,4,945
133,-24275,40,0,4,1798
139,-24275,40,0,4,2027
142,-24275,40,0,4,1993
164,-24275,40,0,4,1835
166,-24275,40,0,4,2125
168,-24275,40,0,4,2057
169,-24275,40,0,4,1534
171,-24275,40,0,4,1919
173,-24275,40,0,4,1953
177,-24275,40,0,4,1885
181,-24275,40,0,4,653
188,-24275,40,0,4,1528
189,-24275,40,0,4,1077
190,-24275,40,0,4,1865
200,-24275,40,0,4,1247
208,-24275,40,0,4,1280
210,-24275,40,0,4,2053
213,-24275,40,0,4,1829
215,-24275,40,0,4,1477
218,-24275,40,0,4,1809
222,-24275,40,0,4,1462
224,-24275,40,0,4,1797
225,-24275,40,0,4,942
226,-24275,40,0,4,1257
228,-24275,40,0,4,1679
233,-24275,40,0,4,1602
240,-24275,40,0,4,1897
243,-24275,40,0,4,1801
246,-24275,40,0,4,910
255,-24275,40,0,4,1776
262,-24275,40,0,4,1926
284,-24275,40,0,4,1678
291,-24275,40,0,4,785
305,-24275,40,0,4,1580
307,-24275,40,0,4,1936
308,-24275,40,0,4,1772
314,-24275,40,0,4,1457
318,-24275,40,0,4,1826
319,-24275,40,0,4,1345
323,-24275,40,0,4,1911
325,-24275,40,0,4,1886
331,-24275,40,0,4,1251
343,-24275,40,0,4,1491
355,-24275,40,0,4,1341
362,-24275,40,0,4,1926
363,-24275,40,0,4,1173
364,-24275,40,0,4,1141
366,-24275,40,0,4,1156
368,-24275,40,0,4,1984
372,-24275,40,0,4,1320
374,-24275,40,0,4,1421
382,-24275,40,0,4,1307
383,-24275,40,0,4,1580
388,-24275,40,0,4,573
390,-24275,40,0,4,1926
391,-24275,40,0,4,1292
394,-24275,40,0,4,1976
402,-24275,40,0,4,777
406,-24275,40,0,4,1095
409,-24275,40,0,4,1308
411,-24275,40,0,4,1150
413,-24275,40,0,4,830
424,-24275,40,0,4,1244
433,-24275,40,0,4,1554
437,-24275,40,0,4,1344
442,-24275,40,0,4,912
443,-24275,40,0,4,1147
444,-24275,40,0,4,1718
458,-24275,40,0,4,944
470,-24275,40,0,4,860
471,-24275,40,0,4,1358
479,-24275,40,0,4,1251
485,-24275,40,0,4,2007
492,-24275,40,0,4,844
496,-24275,40,0,4,1723
503,-24275,40,0,4,1866
508,-24275,40,0,4,2100
511,-24275,40,0,4,1663
512,-24275,40,0,4,1655
514,-24275,40,0,4,2077
517,-24275,40,0,4,1407
519,-24275,40,0,4,1199
522,-24275,40,0,4,1852
523,-24275,40,0,4,2014
527,-24275,40,0,4,1947
528,-24275,40,0,4,1909
529,-24275,40,0,4,2242
531,-24275,40,0,4,1588
532,-24275,40,0,4,1216
538,-24275,40,0,4,1274
542,-24275,40,0,4,1980
543,-24275,40,0,4,1937
556,-24275,40,0,4,2193
557,-24275,40,0,4,2206
558,-24275,40,0,4,1950
560,-24275,40,0,4,1992
561,-24275,40,0,4,1937
562,-24275,40,0,4,2042
570,-24275,40,0,4,1867
573,-24275,40,0,4,2460
575,-24275,40,0,4,1603
576,-24275,40,0,4,1902
580,-24275,40,0,4,2005
582,-24275,40,0,4,2049
584,-24275,40,0,4,1939
585,-24275,40,0,4,2195
586,-24275,40,0,4,2349
587,-24275,40,0,4,2267
589,-24275,40,0,4,2121
590,-24275,40,0,4,2081
591,-24275,40,0,4,1895
594,-24275,40,0,4,2071
596,-24275,40,0,4,1805
600,-24275,40,0,4,1582
610,-24275,40,0,4,1683
612,-24275,40,0,4,1788
613,-24275,40,0,4,1551
615,-24275,40,0,4,2692
619,-24275,40,0,4,1895
620,-24275,40,0,4,932
621,-24275,40,0,4,2096
627,-24275,40,0,4,2248
628,-24275,40,0,4,1838
629,-24275,40,0,4,1869
636,-24275,40,0,4,1761
638,-24275,40,0,4,1935
646,-24275,40,0,4,2021
650,-24275,40,0,4,1929
651,-24275,40,0,4,1277
654,-24275,40,0,4,1866
655,-24275,40,0,4,1119
657,-24275,40,0,4,1940
658,-24275,40,0,4,1320
661,-24275,40,0,4,2159
668,-24275,40,0,4,1798
674,-24275,40,0,4,1686
683,-24275,40,0,4,1920
684,-24275,40,0,4,1934
685,-24275,40,0,4,1897
689,-24275,40,0,4,1016
692,-24275,40,0,4,1064
693,-24275,40,0,4,1352
696,-24275,40,0,4,1514
700,-24275,40,0,4,1912
702,-24275,40,0,4,2128
712,-24275,40,0,4,1572
718,-24275,40,0,4,1720
719,-24275,40,0,4,705
723,-24275,40,0,4,1475
724,-24275,40,0,4,1680
726,-24275,40,0,4,1493
749,-24275,40,0,4,1148
750,-24275,40,0,4,1904
753,-24275,40,0,4,1030
756,-24275,40,0,4,789
757,-24275,40,0,4,1332
765,-24275,40,0,4,1327
769,-24275,40,0,4,1451
773,-24275,40,0,4,1320
776,-24275,40,0,4,1851
781,-24275,40,0,4,337
783,-24275,40,0,4,1533
784,-24275,40,0,4,1321
787,-24275,40,0,4,1893
799,-24275,40,0,4,1354
809,-24275,40,0,4,1458
816,-24275,40,0,4,1033
818,-24275,40,0,4,742
821,-24275,40,0,4,1893
823,-24275,40,0,4,1874
824,-24275,40,0,4,1406
829,-24275,40,0,4,825
830,-24275,40,0,4,1358
837,-24275,40,0,4,761
842,-24275,40,0,4,1107
844,-24275,40,0,4,1008
852,-24275,40,0,4,1298
856,-24275,40,0,4,894
860,-24275,40,0,4,1913
862,-24275,40,0,4,1967
863,-24275,40,0,4,1541
864,-24275,40,0,4,945
865,-24275,40,0,4,1657
866,-24275,40,0,4,1617
867,-24275,40,0,4,1889
871,-24275,40,0,4,1187
879,-24275,40,0,4,1772
881,-24275,40,0,4,1052
884,-24275,40,0,4,1710
891,-24275,40,0,4,1919
892,-24275,40,0,4,1504
895,-24275,40,0,4,1885
896,-24275,40,0,4,1894
899,-24275,40,0,4,1969
901,-24275,40,0,4,2316
903,-24275,40,0,4,1898
905,-24275,40,0,4,2108
909,-24275,40,0,4,1980
917,-24275,40,0,4,1302
920,-24275,40,0,4,1917
923,-24275,40,0,4,1548
924,-24275,40,0,4,1972
927,-24275,40,0,4,2161
928,-24275,40,0,4,2001
929,-24275,40,0,4,1503
931,-24275,40,0,4,972
932,-24275,40,0,4,1389
933,-24275,40,0,4,1897
935,-24275,40,0,4,2366
938,-24275,40,0,4,1612
941,-24275,40,0,4,1578
942,-24275,40,0,4,2180
944,-24275,40,0,4,1476
945,-24275,40,0,4,2354
951,-24275,40,0,4,888
953,-24275,40,0,4,1174
968,-24275,40,0,4,1515
973,-24275,40,0,4,1831
977,-24275,40,0,4,1689
982,-24275,40,0,4,1824
989,-24275,40,0,4,2059
990,-24275,40,0,4,1343
991,-24275,40,0,4,2711
993,-24275,40,0,4,1341
994,-24275,40,0,4,1973
997,-24275,40,0,4,1623
1000,-24275,40,0,4,2198
259,-24390,40,0,5,1458
652,-24390,40,0,5,1938
970,-24390,40,0,5,2267
3,-24390,40,0,4,1347
12,-24390,40,0,4,932
15,-24390,40,0,4,1968
20,-24390,40,0,4,1560
31,-24390,40,0,4,1239
40,-24390,40,0,4,679
42,-24390,40,0,4,1764
44,-24390,40,0,4,1062
45,-24390,40,0,4,819
47,-24390,40,0,4,1306
48,-24390,40,0,4,1309
53,-24390,40,0,4,1733
54,-24390,40,0,4,1689
60,-24390,40,0,4,1373
61,-24390,40,0,4,1223
64,-24390,40,0,4,1323
