seed,score,lowestFaceDown,completedRuns,depth,nodes
116,-25545,41,0,5,1964
143,-25545,41,0,5,2036
205,-25545,41,0,5,2088
716,-25545,41,0,5,2144
132,-25650,41,0,5,2130
179,-25650,41,0,5,2247
250,-25650,41,0,5,1748
516,-25650,41,0,5,1425
555,-25650,41,0,5,1629
952,-25660,41,0,5,824
489,-25765,41,0,6,2224
80,-25765,41,0,5,1799
236,-25430,42,0,4,652
264,-25430,42,0,4,907
275,-25430,42,0,4,1297
334,-25430,42,0,4,1109
206,-25430,42,0,2,84
235,-25430,42,0,2,71
389,-25430,42,0,2,152
733,-25430,42,0,2,88
820,-25430,42,0,2,238
858,-25430,42,0,2,106
859,-25430,42,0,2,236
887,-25430,42,0,2,87
967,-25545,42,0,5,1750
95,-25545,42,0,4,1191
758,-25545,42,0,4,769
802,-25545,42,0,4,1359
407,-25545,42,0,3,198
350,-25545,42,0,2,76
850,-25545,42,0,2,71
882,-25545,42,0,2,86
410,-25660,42,0,2,35
780,-25940,42,0,5,876
266,-26065,42,0,4,599
742,-26065,42,0,4,584
662,-26170,42,0,6,1907
81,-26170,42,0,5,944
530,-26170,42,0,5,1927
354,-26285,42,0,4,918
833,-26285,42,0,4,359
293,-26180,43,0,3,123
62,-26700,44,0,0,0
105,-26700,44,0,0,0
194,-26700,44,0,0,0
209,-26700,44,0,0,0
221,-26700,44,0,0,0
238,-26700,44,0,0,0
303,-26700,44,0,0,0
310,-26700,44,0,0,0
399,-26700,44,0,0,0
481,-26700,44,0,0,0
498,-26700,44,0,0,0
728,-26700,44,0,0,0
731,-26700,44,0,0,0
736,-26700,44,0,0,0
766,-26700,44,0,0,0
779,-26700,44,0,0,0
798,-26700,44,0,0,0
934,-26700,44,0,0,0
